week_start,week_end,start_month,percentage
2022-12-31,2023-01-07,12,100.0
2023-01-07,2023-01-14,1,100.0
2023-01-14,2023-01-21,1,100.0
2023-01-21,2023-01-28,1,100.0
2023-01-28,2023-02-04,1,57.14
2023-02-01,2023-02-04,2,42.86
2023-02-04,2023-02-11,2,100.0
2023-02-11,2023-02-18,2,100.0
2023-02-18,2023-02-25,2,100.0
2023-02-25,2023-03-04,2,57.14
2023-03-01,2023-03-04,3,42.86
2023-03-04,2023-03-11,3,100.0
2023-03-11,2023-03-18,3,100.0
2023-03-18,2023-03-25,3,100.0
2023-03-25,2023-04-01,3,100.0
2023-04-01,2023-04-08,4,100.0
2023-04-08,2023-04-15,4,100.0
2023-04-15,2023-04-22,4,100.0
2023-04-22,2023-04-29,4,100.0
2023-04-29,2023-05-06,4,28.57
2023-05-01,2023-05-06,5,71.43
2023-05-06,2023-05-13,5,100.0
2023-05-13,2023-05-20,5,100.0
2023-05-20,2023-05-27,5,100.0
2023-05-27,2023-06-03,5,71.43
2023-06-01,2023-06-03,6,28.57
2023-06-03,2023-06-10,6,100.0
2023-06-10,2023-06-17,6,100.0
2023-06-17,2023-06-24,6,100.0
2023-06-24,2023-07-01,6,100.0
2023-07-01,2023-07-08,7,100.0
2023-07-08,2023-07-15,7,100.0
2023-07-15,2023-07-22,7,100.0
2023-07-22,2023-07-29,7,100.0
2023-07-29,2023-08-05,7,42.86
2023-08-01,2023-08-05,8,57.14
2023-08-05,2023-08-12,8,100.0
2023-08-12,2023-08-19,8,100.0
2023-08-19,2023-08-26,8,100.0
2023-08-26,2023-09-02,8,85.71
2023-09-01,2023-09-02,9,14.29
2023-09-02,2023-09-09,9,100.0
2023-09-09,2023-09-16,9,100.0
2023-09-16,2023-09-23,9,100.0
2023-09-23,2023-09-30,9,100.0
2023-09-30,2023-10-07,9,14.29
2023-10-01,2023-10-07,10,85.71
2023-10-07,2023-10-14,10,100.0
2023-10-14,2023-10-21,10,100.0
2023-10-21,2023-10-28,10,100.0
2023-10-28,2023-11-04,10,57.14
2023-11-01,2023-11-04,11,42.86
2023-11-04,2023-11-11,11,100.0
2023-11-11,2023-11-18,11,100.0
2023-11-18,2023-11-25,11,100.0
2023-11-25,2023-12-02,11,85.71
2023-12-01,2023-12-02,12,14.29
2023-12-02,2023-12-09,12,100.0
2023-12-09,2023-12-16,12,100.0
2023-12-16,2023-12-23,12,100.0
2023-12-23,2023-12-30,12,100.0
2023-12-30,2024-01-06,12,28.57
2024-01-01,2024-01-06,1,71.43
2024-01-06,2024-01-13,1,100.0
2024-01-13,2024-01-20,1,100.0
2024-01-20,2024-01-27,1,100.0
2024-01-27,2024-02-03,1,71.43
2024-02-01,2024-02-03,2,28.57
2024-02-03,2024-02-10,2,100.0
2024-02-10,2024-02-17,2,100.0
2024-02-17,2024-02-24,2,100.0
2024-02-24,2024-03-02,2,85.71
2024-03-01,2024-03-02,3,14.29
2024-03-02,2024-03-09,3,100.0
2024-03-09,2024-03-16,3,100.0
2024-03-16,2024-03-23,3,100.0
2024-03-23,2024-03-30,3,100.0
2024-03-30,2024-04-06,3,28.57
2024-04-01,2024-04-06,4,71.43
2024-04-06,2024-04-13,4,100.0
2024-04-13,2024-04-20,4,100.0
2024-04-20,2024-04-27,4,100.0
2024-04-27,2024-05-04,4,57.14
2024-05-01,2024-05-04,5,42.86
2024-05-04,2024-05-11,5,100.0
2024-05-11,2024-05-18,5,100.0
2024-05-18,2024-05-25,5,100.0
2024-05-25,2024-06-01,5,100.0
